Modelo Base,Nombre,SKU,Color,Voltaje,Precio,Costo,Stock LEO,Stock AV135,Requiere VIN
,CANDADO,CANDADO,,,350,180,0,0,FALSO
,JUEGO DE CANDADOS,JUEGO-DE-CANDADOS,,,224,110,0,0,FALSO
,SOPORTE PARA TELEFONO MOVIL,SOPORTE-PARA-TELEFONO-MOVIL,,,150,80,0,0,FALSO
,SILLA SENCILLA,SILLA-SENCILLA,,,550,350,0,0,FALSO
,SILLA PREMIUM,SILLA-PREMIUM,,,650,420,0,0,FALSO
,CASCO CICLISTA,CASCO-CICLISTA,,,350,200,0,0,FALSO
,CASCO ABIERTO,CASCO-ABIERTO,,,450,250,0,0,FALSO
IMPERMEABLE COMPLETO,IMPERMEABLE COMPLETO / ROJO,IMPERMEABLE-COMPLETO-ROJO,ROJO,,250,120,0,0,FALSO
IMPERMEABLE COMPLETO,IMPERMEABLE COMPLETO / AZUL,IMPERMEABLE-COMPLETO-AZUL,AZUL,,250,120,0,0,FALSO
,IMPERMEABLE PEQUEÑO,IMPERMEABLE-PEQUEÑO,,,150,80,0,0,FALSO
,CAJA (CAJUELA),CAJA-(CAJUELA),,,1500,1200,0,0,FALSO
,Soporte de celular,SOPORTE-DE-CELULAR,,,200,172.41,0,0,FALSO
,TOLDO SENCILLO,TOLDO-SENCILLO,,,480,280,0,0,FALSO
,Cubrepolvo,CUBREPOLVO,,,350,200,0,0,FALSO
,SALPICADERA TRASERA MODELO ZEUS,SALPICADERA-TRASERA-MODELO-ZEUS,,,252,176,0,0,FALSO
,CASCO PARA NIÑO,CASCO-PARA-NIÑO,,,300,200,0,0,FALSO
,TOLDO RIGIDO FAMILY / FAMILY Q,TOLDO-RIGIDO-FAMILY-/-FAMILY-Q,,,5200,4000,0,0,FALSO
,CUBRE POLVO,CUBRE-POLVO,,,350,200,0,0,FALSO
,CUBRE POLVO,CUBRE-POLVO-1,,,350,200,0,0,FALSO
,CORTINAS GOLF/GOLF PLUS,CORTINAS-GOLF/GOLF-PLUS,,,1508,1300,0,0,FALSO
,TOLDO RIGIDO FAMILY PLUS / FAMILY Q PLUS,TOLDO-RIGIDO-FAMILY-PLUS-/-FAMILY-Q-PLUS,,,7700,6000,0,0,FALSO
,CORTINA DE TOLDO FAMILY Q / FAMILY Q PLUS,CORTINA-DE-TOLDO-FAMILY-Q-/-FAMILY-Q-PLUS,,,1200,800,0,0,FALSO
,BOLSA PARA SCOOTER,BOLSA-PARA-SCOOTER,,,300,170,0,0,FALSO
