id,nombre
1,NARANJA / AZUL
2,ROJO / AZUL
3,GRIS / AMARILLO
4,AMARILLO VERDE
5,AZUL CELESTE
6,AZUL CIELO
7,NEGRO
8,BLANCO
9,ROSA
10,ROJO
11,GRIS
12,VERDE MILITAR
13,VERDE
14,CAFÉ
15,AMARILLO
16,AZUL
17,MORADO
18,BLANCO / ROJO
19,NEGRO / VERDE
20,CAFÉ / NARANJA
21,NEGRO / NARANJA
22,NEGRO / ROJO
23,ROJO / NEGRO
24,VERDE / BLANCO
25,ROSA / AZUL CELESTE
26,NARANJA / GRIS
27,CAFÉ / BEIGE
28,NEGRO / CAFE / BEIGE
29,NARANJA / BLANCO / AZUL CELESTE
30,NEGRO / BLANCO / VERDE
31,BLANCO / NARANJA / VERDE
32,GRIS / AZUL / AZUL CELESTE
33,NEGRO / AZUL / ROJO
34,GIS / ROJO
35,NEGRO / MORADO
36,CAFÉ / VERDE
37,ROSA / MORADO
38,ROJO VINO / VEIGE
39,BEIGE / ROJO
40,NARANJA
41,GRIS / BEIGE
42,GRIS / VERDE
43,BEIGE / VERDE
44,FUCSIA
45,VERDE / ROJO
46,AMARILLO / ROJO
47,BLANCO / AZUL
48,NARANJA / VERDE
49,MORADO / AZUL
50,AZUL / GRIS
51,ROJO VIVO
52,ROJO VINO
53,GUINDA
54,AZUL PASTEL
55,VERDE PISTACHE
56,LILA
57,VERDE VIVO
58,TORNASOL
