modelo_id,color_id
1,1
1,2
1,3
1,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
3,8
3,9
3,13
3,14
4,7
4,8
4,9
4,10
4,11
4,15
4,16
5,7
5,11
5,17
5,16
6,8
6,10
6,15
6,18
6,19
6,20
7,8
7,11
7,15
7,17
7,5
8,21
8,22
8,14
8,23
8,19
8,13
9,24
9,25
9,23
9,26
9,27
9,2
10,28
10,29
10,30
10,31
10,32
10,33
11,34
11,35
11,21
11,36
11,22
11,37
12,9
12,10
12,11
12,14
12,17
12,16
13,9
13,10
13,14
13,16
13,38
13,39
13,40
14,16
14,38
14,41
14,42
15,10
15,11
15,13
15,17
15,16
15,43
16,9
16,13
16,15
16,17
16,16
16,44
17,11
17,16
17,23
17,42
17,17
17,40
17,10
18,5
18,10
18,16
19,10
19,16
19,5
20,5
20,10
20,16
21,10
21,15
21,16
21,7
22,10
22,15
22,16
22,7
23,7
24,7
24,15
25,7
25,10
25,15
25,16
26,7
27,45
27,46
27,47
27,48
27,49
27,19
27,25
27,50
28,51
28,52
28,53
28,54
28,55
28,56
28,57
28,40
28,11
28,17
28,16
29,9
29,13
29,16
29,40
8,10
8,7
30,1
30,7
30,4
31,25
31,9
31,10
31,13
31,16
31,40
12,13
32,9
32,10
32,13
32,16
33,9
33,10
33,11
33,12
33,13
33,15
34,10
34,15
34,17
34,16
35,15
35,17
35,16
35,5
36,9
36,10
36,17
36,16
37,16
37,17
37,13
37,11
37,10
37,4
38,40
38,26
38,16
38,15
38,48
39,9
39,16
39,24
39,10
40,7
40,8
40,11
40,13
40,58
40,10
41,16
41,40
41,13
41,11
41,10
42,9
42,10
42,13
42,17
42,40
43,52
43,11
43,13
43,17
44,10
44,11
44,17
44,54
44,9
45,9
45,13
45,17
45,40
45,52
45,5
45,44
12,52
12,40
12,51
33,16
